model,accuracy,roc_auc,f1,precision,recall,inner_best_cv_acc,fold,n_train,n_test,inner_cv_acc_mean,inner_cv_acc_std
XGBoost,0.7241379310344828,0.7952670429874077,0.7802197802197802,0.8452380952380952,0.7244897959183674,0.7892918825561313,1,579,145,,
XGBoost,0.7103448275862069,0.7894051237516283,0.7835051546391752,0.7916666666666666,0.7755102040816326,0.8117443868739205,2,579,145,,
XGBoost,0.7379310344827587,0.7555362570560139,0.8,0.8260869565217391,0.7755102040816326,0.7944732297063903,3,579,145,,
XGBoost,0.7241379310344828,0.7509769865392966,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.8082901554404144,4,579,145,,
XGBoost,0.7291666666666666,0.761756876663709,0.7958115183246073,0.8172043010752689,0.7755102040816326,0.7845200576892261,5,580,144,,
RandomForest,0.7517241379310344,0.7665002171081199,0.8235294117647058,0.7924528301886793,0.8571428571428571,,1,579,145,0.7392055267702936,0.016016612254742154
RandomForest,0.7379310344827587,0.776704298740773,0.819047619047619,0.7678571428571429,0.8775510204081632,,2,579,145,0.7340241796200345,0.02330006487604847
RandomForest,0.7862068965517242,0.7914676508901433,0.8502415458937198,0.8073394495412844,0.8979591836734694,,3,579,145,0.7288428324697754,0.017613193483912912
RandomForest,0.7517241379310344,0.8164350846721669,0.8348623853211009,0.7583333333333333,0.9285714285714286,,4,579,145,0.7426597582037996,0.010646656309100128
RandomForest,0.7361111111111112,0.7938110026619344,0.822429906542056,0.7586206896551724,0.8979591836734694,,5,580,144,0.7603315349963499,0.01381296141730028
DecisionTree,0.593103448275862,0.5439643942683456,0.694300518134715,0.7052631578947368,0.6836734693877551,,1,579,145,0.7322970639032814,0.010646656309100121
DecisionTree,0.7034482758620689,0.631133304385584,0.7922705314009661,0.7522935779816514,0.8367346938775511,,2,579,145,0.7461139896373057,0.01844054965808518
DecisionTree,0.6827586206896552,0.6601172383847155,0.7553191489361702,0.7888888888888889,0.7244897959183674,,3,579,145,0.766839378238342,0.022385978232842378
DecisionTree,0.696551724137931,0.6371037776812853,0.7821782178217822,0.7596153846153846,0.8061224489795918,,4,579,145,0.7392055267702936,0.008806596741956446
DecisionTree,0.7013888888888888,0.6594942324755989,0.7794871794871795,0.7835051546391752,0.7755102040816326,,5,580,144,0.7017520431600875,0.02042887170893678
