feature,importance,convergent
humann_KO_group_counts::K00937: polyphosphate kinase [EC:2.7.4.1],0.035569,False
humann_KO_group_counts::K13747: carboxynorspermidine decarboxylase [EC:4.1.1.96],0.026077,False
humann_KO_group_counts::K09762: uncharacterized protein,0.019704,False
humann_KO_group_counts::K11179: tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-],0.018945,False
humann_pathway_counts::PWY-6892: thiazole component of thiamine diphosphate biosynthesis I,0.016651,False
humann_pathway_counts::PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),0.016365,False
humann_KO_group_counts::K20460: lantibiotic transport system permease protein,0.015864,False
humann_KO_group_counts::K03078: 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85],0.015003,False
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified,0.014462,False
humann_KO_group_counts::K07003: uncharacterized protein,0.013717,False
humann_KO_group_counts::K07590: large subunit ribosomal protein L7A,0.0129,False
metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.012797,False
humann_KO_group_counts::K11741: quaternary ammonium compound-resistance protein SugE,0.012586,False
metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.012131,False
Constipation=Y,0.011775,False
humann_KO_group_counts::K01464: dihydropyrimidinase [EC:3.5.2.2],0.011633,False
humann_KO_group_counts::K07462: single-stranded-DNA-specific exonuclease [EC:3.1.-.-],0.010752,False
"humann_KO_group_counts::K03712: MarR family transcriptional regulator, multiple antibiotic resistance protein MarR",0.010737,False
humann_KO_group_counts::K01479: formiminoglutamase [EC:3.5.3.8],0.010502,False
"humann_pathway_counts::PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis",0.010291,False
humann_KO_group_counts::K00245: fumarate reductase iron-sulfur subunit [EC:1.3.5.4],0.009993,False
humann_KO_group_counts::K16905: fluoroquinolone transport system permease protein,0.009935,False
humann_pathway_counts::P108-PWY: pyruvate fermentation to propanoate I,0.00956,False
humann_KO_group_counts::K07335: basic membrane protein A and related proteins,0.009525,False
metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0.009355,False
