dt_rank,feature,n_pd,n_healthy,pd_median,healthy_median,wilcoxon_z,p_value_raw,p_value_bonferroni,p_value_fdr_bh,direction
1,PWY-7199: pyrimidine deoxyribonucleosides salvage,404,235,2.1705163755,2.131606519,10.942066486315172,7.252762910956099e-28,1.4505525821912199e-26,1.4505525821912199e-26,higher_in_PD
2,Constipation_Y,404,235,0.0,0.0,6.6995826218196886,2.0901566501706283e-11,4.1803133003412563e-10,5.971876143344652e-11,equal
3,K06166: alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37],404,235,1.0363746815,0.0,3.792304620297722,0.0001492556698182424,0.002985113396364848,0.00033167926626276084,higher_in_PD
4,K01361: lactocepin [EC:3.4.21.96],404,235,0.0,0.0,0.9856836758446532,0.324288362447657,1.0,0.40536045305957125,equal
5,K06390: stage III sporulation protein AA,404,235,1.6841027849999999,1.617664372,3.3832325627616524,0.0007163794094663495,0.014327588189326989,0.001432758818932699,higher_in_PD
6,K00864: glycerol kinase [EC:2.7.1.30],404,235,1.8687968874999998,1.855960156,2.702853073258422,0.0068747127504909045,0.1374942550098181,0.012499477728165282,higher_in_PD
7,k__Bacteria,404,235,16.735966814999998,16.49074247,8.507632231907142,1.775212246572627e-17,3.550424493145254e-16,8.876061232863135e-17,higher_in_PD
8,K02747: N-acetylgalactosamine PTS system EIID component,404,235,0.0,0.0,0.8232547382787286,0.41036314672111696,1.0,0.48278017261307876,equal
9,"K15727: membrane fusion protein, heavy metal efflux system",404,235,1.3603422900000002,1.29512908,1.8944858025814952,0.058160557086106734,1.0,0.07754740944814231,higher_in_PD
10,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,404,235,0.0,0.0,-0.08132556928745335,0.9351830399851314,1.0,0.9351830399851314,equal
11,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,404,235,0.0,0.0,2.5899749606955087,0.00959829131572853,0.1919658263145706,0.015997152192880882,equal
12,K07334: toxin HigB-1,404,235,1.4806840565,1.335070624,4.859536066438811,1.1766114694899161e-06,2.3532229389798322e-05,2.9415286737247903e-06,higher_in_PD
13,THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes),404,235,2.105527877,2.076314919,7.301969557170197,2.8358544333572797e-13,5.671708866714559e-12,1.1343417733429119e-12,higher_in_PD
14,k__Bacteria|p__Firmicutes,404,235,15.81166254,15.57078187,6.960668807373671,3.386610878621104e-12,6.773221757242208e-11,1.1288702928737014e-11,higher_in_PD
15,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus,404,235,0.0,0.0,-0.7421513700002573,0.4579956286887661,1.0,0.5088840318764069,equal
16,"K07670: two-component system, OmpR family, response regulator MtrA",404,235,0.0,0.0,0.2190901948563634,0.8265797886079901,1.0,0.8700839880084106,equal
17,"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",404,235,2.0372511875,1.987726047,8.901372419823446,5.516033961475981e-19,1.1032067922951962e-17,5.516033961475981e-18,higher_in_PD
18,K04484: DNA repair protein RadB,404,235,0.0,0.0,2.116020208536662,0.0343430888780551,0.686861777561102,0.04906155554007872,equal
19,PWY-7663: gondoate biosynthesis (anaerobic),404,235,2.1518523099999998,2.115050213,8.756941763985072,2.0061924210575425e-18,4.012384842115085e-17,1.3374616140383616e-17,higher_in_PD
20,K20490: lantibiotic transport system ATP-binding protein,404,235,1.835954651,1.810284583,2.4115475504828723,0.015884980343087125,0.3176996068617425,0.024438431297057115,higher_in_PD
