xg_rank,feature,feature_clean,n_pd,n_healthy,pd_median,healthy_median,wilcoxon_rank_sum_z,p_value_raw,p_value_bonferroni,p_value_fdr_bh,pd_vs_healthy_direction
1,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,490,234,14.303036630266247,14.758862680816279,-7.45975282648607,8.668494183685452e-14,8.668494183685453e-13,2.1671235459213632e-13,higher_in_healthy
2,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,490,234,24.847305603153437,25.424852023754593,-8.155044039304116,3.490526629644311e-16,3.490526629644311e-15,1.7452633148221555e-15,higher_in_healthy
3,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,490,234,10.698037249353845,10.221507454550991,4.910351712819902,9.091318328870681e-07,9.09131832887068e-06,1.5152197214784468e-06,higher_in_PD
4,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,490,234,24.08469883947464,24.796214152590927,-7.811957719536522,5.630645087929903e-15,5.630645087929903e-14,1.8768816959766343e-14,higher_in_healthy
5,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia,k__Bacteria|p__Firmicutes|c__Clostridia,490,234,24.847305603153437,25.424852023754593,-8.155044039304116,3.490526629644311e-16,3.490526629644311e-15,1.7452633148221555e-15,higher_in_healthy
6,metaphlan_rel_ab::k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis,490,234,-2.215302943471711,-2.0485761456328815,-5.0874040107287595,3.6299800690769933e-07,3.629980069076993e-06,7.259960138153987e-07,higher_in_healthy
7,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,490,234,-2.18421127682001,-2.0170235142004556,-4.712402684471158,2.448130013872106e-06,2.4481300138721058e-05,3.4973285912458653e-06,higher_in_healthy
8,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_salivarius,490,234,-2.1343850530634905,-2.022674873545072,-1.7572250597177381,0.07887945545463436,0.7887945545463436,0.07887945545463436,higher_in_healthy
9,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum,490,234,-4.246266127348377,-4.015509906486263,-2.316117613846342,0.02055184783663899,0.2055184783663899,0.022835386485154433,higher_in_healthy
10,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium,490,234,-4.300222071298676,-4.016883623775085,-4.119695421085283,3.7937354964240164e-05,0.00037937354964240165,4.7421693705300206e-05,higher_in_healthy
